term,definition,ipa,synonyms,antonyms
splotch,""" n. a daub, blot, or smear of something, typically a liquid. """"a splotch of red in a larger area of yellow""""   v. make a daub, blot, or smear on. """"a rag splotched with grease""""""",spläCH,,
conducive,""" adj. making a certain situation or outcome likely or possible. """"the harsh lights and cameras were hardly conducive to a relaxed atmosphere"""" """"an environment that is conducive to learning"""" """,kənˈd(y)o͞osiv,"favorable to, beneficial to, advantageous to, opportune to, propitious to, encouraging to, promising to, convenient for, good for, helpful, instrumental in, productive of, useful for",unfavorable
exude,""" v. discharge (moisture or a smell) slowly and steadily. """"the beetle exudes a caustic liquid"""" """"slime exudes from the fungus""""   v. (of a person) display (an emotion or quality) strongly and openly. """"Mr. Thomas exuded friendship and goodwill"""" """,iɡˈzo͞od,"give off/out, discharge, release, emit, issue, emanate, radiate, ooze, emit",
poignant,""" adj. evoking a keen sense of sadness or regret. """"a poignant reminder of the passing of time"""" """"they read aloud the poignant letters written by the victims' children""""""",ˈpoin(y)ənt,"touching, moving, sad, affecting, pitiful, piteous, pathetic, sorrowful, mournful, wretched, miserable, distressing, heart-rending, tearjerking, plaintive, tragic",
provision,""" n. the action of providing or supplying something for use. """"new contracts for the provision of services""""    n. an amount or thing supplied or provided. """"low levels of social provision""""    v. supply with food, drink, or equipment, especially for a journey. """"civilian contractors were responsible for provisioning these armies""""""",prəˈviZHən,"supplying, supply, providing, giving, presentation, donation, facilities, services, amenities, resource(s), arrangements",
wield,""" v. hold and use (a weapon or tool). """"a masked raider wielding a handgun""""    v. have and be able to use (power or influence). """"faction leaders wielded enormous influence within the party"""" """"he has wielded power since 1972""""""",wēld,"brandish, flourish, wave, swing, exercise, exert, hold, maintain, command, control",
convoke,""" v. call together or summon (an assembly or meeting). """"she sent messages convoking a Council of Ministers"""" """"she claimed to have the power to convoke the spirits of the dead""""""",kənˈvōk,"convene, summon, call together, call",
implore,""" v. beg someone earnestly or desperately to do something. """"he implored her to change her mind"""" """,imˈplôr,"plead with, beg, entreat, beseech, appeal to, ask, request, call on",
maim,""" v. wound or injure (someone) so that part of the body is permanently damaged. """"100,000 soldiers were killed or maimed"""" """"a dog maimed by a coyote""""""",mām,"injure, wound, cripple, disable, incapacitate, impair, mar, mutilate, lacerate, disfigure, deform, mangle",
enjoin,""" v. instruct or urge (someone) to do something. """"the code enjoined members to trade fairly""""    v. prescribe (an action or attitude) to be performed or adopted. """"the charitable deeds enjoined on him by religion""""""",inˈjoin,"urge, encourage, admonish, press",
lodge,""" n. a small house at the gates of a park or in the grounds of a large house, typically occupied by a gatekeeper, gardener, or other employee. """"the porter's lodge""""   v. present (a complaint, appeal, claim, etc.) formally to the proper authorities. """"he has 28 days in which to lodge an appeal"""" """"we lodged a complaint""""   v. make or become firmly fixed or embedded in a particular place. """"they had to remove a bullet lodged near his spine"""" """"the bullet lodged in his back""""""",läj,"gatehouse, cottage, submit, register, enter, put forward, advance, lay, present, tender, proffer, put on record, record, file, become fixed, embed itself, become embedded, become implanted, get/become stuck, stick, catch, become caught, wedge",
forsake,""" v. abandon (someone or something). """"he would never forsake Tara""""    v. renounce or give up (something valued or pleasant). """"I won't forsake my vegetarian principles"""" """,fərˈsāk,"abandon, desert, leave, leave high and dry, turn one's back on, cast aside, break (up) with antonyms: return to, stay with, renounce, abandon, relinquish, dispense with, disclaim, disown, disavow, discard, wash one's hands of antonyms: keep (to)","return to, stay with, keep (to)"
knack,""" n. an acquired or natural skill at performing a task. """"she got the knack of it in the end""""    n. a tendency to do something. """"the band has a knack of warping classic soul songs"""" """"his knack of getting injured at the wrong time""""""",nak,"gift, talent, flair, genius, instinct, faculty, ability, capability, capacity, aptitude, aptness, bent, forte, facility, tendency to, propensity for, habit of, proneness to, aptness to, bent for, liability to, predisposition to, inclination to",
subdue,""" v. overcome, quieten, or bring under control (a feeling or person). """"she managed to subdue an instinct to applaud"""" """,səbˈd(y)o͞o,"conquer, defeat, vanquish, overcome, overwhelm, crush, quash, beat, trounce, subjugate, suppress, bring someone to their knees",
subjugate,""" v. bring under domination or control, especially by conquest. """"the invaders had soon subjugated most of the native population"""" """"the Normans had subjugated most of Ireland's Gaelic population"""" """,ˈsəbjəˌɡāt,"conquer, vanquish, defeat, crush, quash, bring someone to their knees, enslave, subdue, suppress",liberate
profuse,""" adj. (especially of something offered or discharged) exuberantly plentiful; abundant. """"I offered my profuse apologies"""" """,prəˈfyo͞os,"copious, prolific, abundant, liberal, unstinting, fulsome, effusive, extravagant, lavish, gushing",
clout,""" n. influence or power, especially in politics or business. """"I knew he carried a lot of clout""""    v. hit hard with the hand or a hard object. """"I clouted him on the head"""" """,klout,"influence, power, weight, sway, leverage, control, say, hit, strike, punch, smack, slap, cuff, thump, buffet",
solicit,""" v. ask for or try to obtain (something) from someone. """"he called a meeting to solicit their views"""" """,səˈlisit,"ask for, request, seek, apply for, put in for, call for, press for, beg, plead for",
creep,"""v. move slowly and carefully, especially in order to avoid being heard or noticed. """"he crept downstairs, hardly making any noise""""    v. (of an unwanted and negative characteristic or fact) occur or develop gradually and almost imperceptibly. """"errors crept into his game""""""",krēp,"tiptoe, steal, sneak, slip, slink, sidle, pad, edge, inch",
gleefully,""" adv. in an exuberantly or triumphantly joyful manner. """"audiences laughed gleefully""""""",ˈɡlēfəlē,,
schlep,""" v. haul or carry (something heavy or awkward). """"she schlepped her groceries home""""   v. (of a person) go or move reluctantly or with effort. """"I would have preferred not to schlep all the way over there to run an errand""""""",SHlep,,
rampage,""" v. (especially of a large group of people) rush around in a violent and uncontrollable manner. """"several thousand demonstrators rampaged through the city""""    n. a period of violent and uncontrollable behavior, typically involving a large group of people. """"thugs went on a rampage and wrecked a classroom""""""",ˈramˌpāj,"riot, run riot, go on the rampage, run amok, go berserk",
bog,""" v. cause (a vehicle, person, or animal) to become stuck in mud or wet ground. """"the car became bogged down on the beach road""""   v. (of a person or process) be unable to make progress. """"you must not get bogged down in detail""""""",bôɡ,,
reminiscent,""" adj. tending to remind one of something. """"the sights were reminiscent of my childhood""""   adj. suggesting something by resemblance. """"her suit was vaguely reminiscent of military dress"""" """"the smell of fresh apple pies was reminiscent of the aromas from Gramma's kitchen in Middlefield""""""",ˌreməˈnis(ə)nt,"similar to, comparable with, evocative of, suggestive of, redolent of",
surveil,""" v. keep (a person or place) under surveillance. """"he deployed FBI agents to surveil the offices of those companies""""""",sərˈvāl,,
plume,""" n. a long, soft feather or arrangement of feathers used by a bird for display or worn by a person for ornament. """"a hat with a jaunty ostrich plume""""    v. spread out in a shape resembling a feather. """"smoke plumed from the chimneys""""""",plo͞om,"feather, quill",
whopping,""" adj. very large. """"a whopping $74 million loss""""""",ˈ(h)wäpiNG,,
frigid,""" adj. very cold in temperature. """"frigid water"""" """"a frigid January night""""""",ˈfrijid,"very cold, bitterly cold, bitter, freezing, frozen, frosty, icy, gelid, chilly, chill, wintry, bleak, subzero, arctic, Siberian, bone-chilling, polar, glacial, hypothermic",
acumen,""" n. the ability to make good judgments and quick decisions, typically in a particular domain. """"business acumen"""" """,əˈkyo͞omən,"astuteness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, smartness, brains",
adulterate,""" v. render (something) poorer in quality by adding another substance, typically an inferior one. """"the meat was ground fine and adulterated with potato flour"""" """,əˈdəltəˌrāt,"make impure, degrade, debase, spoil, taint, contaminate antonyms: purify",purify
amalgamate,""" v. combine or unite to form one organization or structure. """"he amalgamated his company with another"""" """,əˈmalɡəˌmāt,"combine, merge, unite, fuse, blend, meld antonyms: separate",separate
archaic,""" adj. very old or old-fashioned. """"prisons are run on archaic methods"""" """,ärˈkāik,"obsolete, out of date, old-fashioned, outmoded, behind the times, bygone, anachronistic, antiquated, superannuated, antediluvian, old world, old-fangled antonyms: modern",modern
aver,""" v. state or assert to be the case. """"he averred that he was innocent of the allegations""""""",əˈvər,,
bolster,""" v. support or strengthen; prop up. """"the fall in interest rates is starting to bolster confidence"""" """,ˈbōlstər,"strengthen, reinforce, boost, fortify, renew antonyms: undermine",undermine
bombastic,""" adj. high-sounding but with little meaning; inflated. """"bombastic rhetoric"""" """,ˌbämˈbastik,"pompous, blustering, turgid, verbose, orotund, high-flown, high-sounding, overwrought, pretentious, ostentatious, grandiloquent",
diatribe,""" n. a forceful and bitter verbal attack against someone or something. """"a diatribe against the Roman Catholic Church"""" """,ˈdīəˌtrīb,"tirade, harangue, onslaught, attack, polemic, denunciation, broadside, fulmination, condemnation, censure, criticism",
dissemble,""" v. conceal one's true motives, feelings, or beliefs. """"an honest, sincere person with no need to dissemble"""" """,dəˈsembəl,"dissimulate, pretend, feign, act, masquerade, sham, fake, bluff, posture, hide one's feelings, put on a false front",
eccentric,""" adj. (of a person or their behavior) unconventional and slightly strange. """"my favorite aunt is very eccentric"""" """,ikˈsentrik,"unconventional, uncommon, abnormal, irregular, aberrant, anomalous, odd, queer, strange, peculiar, weird, bizarre, outlandish, freakish, extraordinary antonyms: conventional",conventional
endemic,""" adj. (of a disease or condition) regularly found among particular people or in a certain area. """"areas where malaria is endemic""""   adj. (of a plant or animal) native or restricted to a certain country or area. """"a marsupial endemic to northeastern Australia""""""",enˈdemik,,
evanescent,""" adj. soon passing out of sight, memory, or existence; quickly fading or disappearing. """"a shimmering evanescent bubble"""" """,ˌevəˈnes(ə)nt,"vanishing, fading, evaporating, melting away, disappearing antonyms: permanent",permanent
exacerbate,""" v. make (a problem, bad situation, or negative feeling) worse. """"the exorbitant cost of land in urban areas only exacerbated the problem"""" """,iɡˈzasərˌbāt,"aggravate, worsen, inflame, compound antonyms: reduce",reduce
fervent,""" adj. having or displaying a passionate intensity. """"a fervent disciple of tax reform"""" """,ˈfərvənt,"impassioned, passionate, intense, vehement, ardent, sincere, fervid, heartfelt antonyms: apathetic",apathetic
fortuitous,""" adj. happening by accident or chance rather than design. """"the similarity between the paintings may not be simply fortuitous"""" """"a fortuitous resemblance"""" """,fôrˈto͞oədəs,"chance, adventitious, unexpected, unanticipated, unpredictable, unforeseen, unlooked-for, serendipitous, casual, incidental, coincidental, random, accidental, inadvertent, unintentional, unintended, unplanned, unpremeditated",predictable
germane,""" adj. relevant to a subject under consideration. """"that is not germane to our theme"""" """,jərˈmān,"relevant, pertinent, applicable, apposite, material antonyms: irrelevant",irrelevant
grandiloquent,""" adj. pompous or extravagant in language, style, or manner, especially in a way that is intended to impress. """"a grandiloquent celebration of Spanish glory"""" """,ɡranˈdiləkwənt,"pompous, bombastic, magniloquent, pretentious, ostentatious, high-flown, orotund, florid, flowery antonyms: understated",understated
hackneyed,""" adj. (of a phrase or idea) lacking significance through having been overused; unoriginal and trite. """"hackneyed old sayings"""" """,ˈhaknēd,"overused, overdone, overworked, worn out, timeworn, platitudinous, vapid, stale, tired, threadbare antonyms: original",original
trite,""" adj. (of a remark, opinion, or idea) overused and consequently of little import; lacking originality or freshness. """"this point may now seem obvious and trite"""" """,trīt,"banal, hackneyed, clichéd, platitudinous, vapid, commonplace, stock, conventional, stereotyped, overused, overdone, overworked, stale, worn out, timeworn, tired, hoary, hack, unimaginative, unoriginal, uninteresting, dull, uninvolving antonyms: original, imaginative","original, imaginative"
halcyon,""" adj. denoting a period of time in the past that was idyllically happy and peaceful. """"the halcyon days of the mid-1980s, when profits were soaring"""" """,ˈhalsēən,"happy, golden, idyllic, carefree, blissful, joyful, joyous, contented",
hedonism,"n. the pursuit of pleasure; sensual self-indulgence. synonyms: self-indulgence, pleasure-seeking, self-gratification, lotus-eating, sybaritism antonyms: self-restraint",ˈhedənˌizəm,,
hegemony,""" n. leadership or dominance, especially by one country or social group over others. """"Germany was united under Prussian hegemony after 1871"""" """,həˈjemənē,"leadership, dominance, dominion, supremacy, authority, mastery, control, power, sway, rule, sovereignty",
iconoclast,"n. a person who attacks cherished beliefs or institutions.    n. a destroyer of images used in religious worship, in particular.",īˈkänəˌklast,"critic, skeptic",
idolatrous,""" adj. worshiping idols. """"the idolatrous peasantry""""""",īˈdälətrəs,,
impassive,""" adj. not feeling or showing emotion. """"impassive passersby ignore the performers"""" """,imˈpasiv,"expressionless, unexpressive, inexpressive, inscrutable, unreadable, blank, deadpan, poker-faced, straight-faced antonyms: expressive",expressive
implacable,"""adj. unable to be placated. """"he was an implacable enemy of Ted's""""    adj. relentless; unstoppable. """"the implacable advance of the enemy""""""",imˈplakəb(ə)l,"unappeasable, unforgiving, unsparing",
placate,""" v. make (someone) less angry or hostile. """"they attempted to placate the students with promises"""" """"John did his best to placate her"""" """,ˈplākāt,"pacify, calm, appease, mollify, soothe, win over, conciliate, propitiate, make peace with, humor",provoke
impunity,""" n. exemption from punishment or freedom from the injurious consequences of an action. """"the impunity enjoyed by military officers implicated in civilian killings"""" """,imˈpyo͞onədē,"immunity, indemnity, exemption (from punishment), freedom from liability, nonliability, license antonyms: liability",liability
inchoate,""" adj. just begun and so not fully formed or developed; rudimentary. """"a still inchoate democracy"""" ""","inˈkōət,ˈinkəˌwāt","rudimentary, undeveloped, unformed, immature, incipient, embryonic",
infelicitous,""" adj. unfortunate; inappropriate. """"his illustration is singularly infelicitous""""""",ˌinfəˈlisədəs,,
insipid,""" adj. lacking vigor or interest. """"many artists continued to churn out insipid, shallow works"""" """"insipid pictures"""" """,inˈsipid,"unimaginative, uninspired, uninspiring, characterless, flat, uninteresting, lackluster, dull, drab, boring, dry, humdrum, ho-hum, monochrome, tedious, uneventful, run-of-the-mill, commonplace, pedestrian, trite, tired, hackneyed, stale, lame, wishy-washy, colorless, anemic, lifeless","interesting, imaginative"
loquacious,"adj. tending to talk a great deal; talkative. synonyms: talkative, voluble, communicative, expansive, garrulous, unreserved, chatty, gossipy, gossiping antonyms: reticent, taciturn",lōˈkwāSHəs,,
malevolent,""" adj. having or showing a wish to do evil to others. """"the glint of dark, malevolent eyes"""" """,məˈlevələnt,"malicious, hostile, evil-minded, baleful, evil-intentioned, venomous, evil, malign, malignant, rancorous, vicious, vindictive, vengeful antonyms: benevolent",benevolent
malleable,""" adj. (of a metal or other material) able to be hammered or pressed permanently out of shape without breaking or cracking. """"a malleable substance""""    adj. easily influenced; pliable. """"Anna was shaken enough to be malleable"""" """,ˈmalyəb(ə)l,"pliable, ductile, plastic, pliant, soft, workable, easily influenced, suggestible, susceptible, impressionable, pliable, amenable, compliant, tractable antonyms: intractable","hard, intractable"
mendacity,""" n. untruthfulness. """"people publicly castigated for past mendacity""""""",menˈdasədē,,
meticulous,""" adj. showing great attention to detail; very careful and precise. """"he had always been so meticulous about his appearance"""" """,məˈtikyələs,"careful, conscientious, diligent, ultracareful, scrupulous, punctilious, painstaking, demanding, exacting, accurate, correct",
misanthrope,"n. a person who dislikes humankind and avoids human society. synonyms: hater of mankind, hater, cynic",ˈmis(ə)nˌTHrōp,,
obdurate,"adj. stubbornly refusing to change one's opinion or course of action. synonyms: stubborn, obstinate, intransigent, inflexible, unyielding, unbending, pigheaded, bullheaded, mulish, stiff-necked antonyms: malleable, tractable",ˈäbd(y)ərət,,
obsequious,""" adj. obedient or attentive to an excessive or servile degree. """"they were served by obsequious waiters"""" """,əbˈsēkwēəs,"servile, ingratiating, sycophantic, fawning, unctuous, oily, oleaginous, groveling, cringing, subservient, submissive, slavish antonyms: domineering",domineering
occlude,""" v. stop, close up, or obstruct (an opening, orifice, or passage). """"thick makeup can occlude the pores"""" """"a blood clot has occluded the coronary artery""""""",əˈklo͞od,"block (up), stop (up), obstruct, clog (up), close, shut, plug (up), choke",
opprobrium,""" n. harsh criticism or censure. """"his films and the critical opprobrium they have generated""""    n. the public disgrace arising from someone's shameful conduct. """"the opprobrium of being closely associated with thugs and gangsters"""" """,əˈprōbrēəm,"vilification, abuse, vituperation, condemnation, criticism, censure, denunciation, defamation, denigration, castigation, disparagement, obloquy, derogation, slander, calumny, execration, lambasting, bad press, invective, libel, character assassination antonyms: praise, disgrace, shame, dishonor, stigma, humiliation, discredit, loss of face, ignominy, obloquy, disrepute, infamy, notoriety, scandal antonyms: honor","praise, honor"
pedagogy,""" n. the method and practice of teaching, especially as an academic subject or theoretical concept. """"the relationship between applied linguistics and language pedagogy""""""",ˈpedəˌɡäjē,,
pedantic,""" adj. of or like a pedant. """"many of the essays are long, dense, and too pedantic to hold great appeal"""" """,pəˈdan(t)ik,"overscrupulous, scrupulous, precise, exact, perfectionist, punctilious, meticulous, fussy, fastidious, finicky",
pedant,"n. a person who is excessively concerned with minor details and rules or with displaying academic learning. synonyms: dogmatist, purist, literalist, formalist, doctrinaire, perfectionist",ˈpednt,,
penury,""" n. extreme poverty; destitution. """"he died in a state of virtual penury"""" """"Dylan was oblivious to his brother's wretched state of penury""""""",ˈpenyərē,"extreme poverty, destitution, pennilessness, impecuniousness, impoverishment, indigence, pauperism, privation, beggary",
pervasive,""" adj. (especially of an unwelcome influence or physical effect) spreading widely throughout an area or a group of people. """"ageism is pervasive and entrenched in our society"""" """"the low-carb craze is pervasive""""""",pərˈvāsiv,"prevalent, pervading, permeating, extensive, ubiquitous, omnipresent, universal, rife, widespread, general",
pine,""" v. suffer a mental and physical decline, especially because of a broken heart. """"she thinks I am pining away from love"""" """,pīn,"languish, decline, weaken, waste away, wilt, wither, fade, sicken, droop",
pirate,""" v. use or reproduce (another's work) for profit without permission, usually in contravention of patent or copyright. """"he sold pirated tapes of Hollywood blockbusters"""" """,ˈpīrət,"steal, plagiarize, poach, copy illegally, reproduce illegally, appropriate, bootleg",
pith,""" n. the essence of something. """"a book that he considered contained the pith of all his work"""" """"the pith of the argument""""""",piTH,"essence, main point, fundamentals, heart, substance, nub, core, quintessence, crux, gist, meat, kernel, marrow, burden",
pithy,"adj. (of language or style) concise and forcefully expressive. synonyms: succinct, terse, concise, compact, short (and sweet), brief, condensed, to the point, epigrammatic, crisp, thumbnail antonyms: verbose",ˈpiTHē,,
platitude,""" n. a remark or statement, especially one with a moral content, that has been used too often to be interesting or thoughtful. """"she began uttering liberal platitudes"""" """"boring us with his platitudes""""""",ˈpladəˌt(y)o͞od,"cliché, truism, commonplace, banality, old chestnut, bromide, inanity, banalhackneyed/stock phrase",
polemical,""" adj. relating to or involving strongly critical, controversial, or disputatious writing or speech. """"a polemical essay"""" """"the first of his polemical essays against modernism""""""",pəˈlemək(ə)l,"critical, hostile, bitter, polemic, virulent, vitriolic, venomous, caustic, trenchant, cutting, acerbic, sardonic, sarcastic, scathing, sharp, incisive, devastating",
prodigal,""" adj. spending money or resources freely and recklessly; wastefully extravagant. """"prodigal habits die hard""""    adj. having or giving something on a lavish scale. """"the dessert was crunchy with brown sugar and prodigal with whipped cream"""" """"a composer who is prodigal with his talents"""" """,ˈprädəɡəl,"wasteful, extravagant, spendthrift, profligate, improvident, imprudent antonyms: thrifty, generous, lavish, liberal, unstinting, unsparing","thrifty, mean"
proliferate,""" v. increase rapidly in numbers; multiply. """"the science fiction magazines that proliferated in the 1920s"""" """"stories of her trial proliferated"""" """,prəˈlifəˌrāt,"increase rapidly, grow rapidly, multiply, rocket, mushroom, snowball, burgeon, run riot","decrease, dwindle"
query,""" n. a question, especially one addressed to an official or organization. """"a spokeswoman said queries could not be answered until Monday""""    v. ask a question about something, especially in order to express one's doubts about it or to check its validity or accuracy. """"many people queried whether any harm had been done"""" """,ˈkwirē,"question, inquiry, ask, inquire, question",
querulous,""" adj. complaining in a petulant or whining manner. """"she became querulous and demanding"""" """,ˈkwer(y)ələs,"petulant, peevish, pettish, complaining, fractious, fretful, irritable, testy, tetchy, cross, snappish, crabby, crotchety, cantankerous, miserable, moody, grumpy, bad-tempered, sullen, sulky, sour, churlish",
rancorous,""" adj. characterized by bitterness or resentment. """"sixteen miserable months of rancorous disputes"""" """,ˈraNGk(ə)rəs,"bitter, spiteful, hateful, resentful, acrimonious, malicious, malevolent, hostile, venomous, vindictive, baleful, vitriolic, vengeful, pernicious, mean, nasty antonyms: amicable",amicable
recalcitrant,""" adj. having an obstinately uncooperative attitude toward authority or discipline. """"a class of recalcitrant fifteen-year-olds"""" """,rəˈkalsətrənt,"uncooperative, intractable, obstreperous, truculent, insubordinate, defiant, rebellious, willful, wayward, headstrong, self-willed, contrary, perverse, difficult antonyms: amenable",amenable
repudiate,""" v. refuse to accept or be associated with. """"she has repudiated policies associated with previous party leaders""""    v. deny the truth or validity of. """"the minister repudiated allegations of human rights abuses"""" """"Hansen repudiated the allegations"""" """,rəˈpyo͞odēˌāt,"reject, renounce, abandon, give up, turn one's back on, disown, cast off, lay aside antonyms: embrace, deny, contradict, controvert, rebut, dispute, dismiss, brush aside","embrace, acknowledge, confirm"
rescind,""" v. revoke, cancel, or repeal (a law, order, or agreement). """"the government eventually rescinded the directive"""" """,rəˈsind,"revoke, repeal, cancel, reverse, overturn, overrule, annul, nullify, void, invalidate, quash, abolish antonyms: enforce",enforce
reverent,""" adj. feeling or showing deep and solemn respect. """"a reverent silence"""" """,ˈrev(ə)rənt,"respectful, reverential, admiring, devoted, devout, dutiful, awed, deferential",
rhetoric,""" n. the art of effective or persuasive speaking or writing, especially the use of figures of speech and other compositional techniques. """"a form of rhetoric""""   n. language designed to have a persuasive or impressive effect on its audience, but often regarded as lacking in sincerity or meaningful content. """"all we have from the opposition is empty rhetoric"""" """,ˈredərik,"oratory, eloquence, command of language, way with words, bombast, turgidity, grandiloquence, magniloquence, pomposity, extravagant language, purple prose",
salubrious,""" adj. health-giving; healthy. """"salubrious weather"""" """"I found the climate salubrious"""" """,səˈlo͞obrēəs,"healthy, health-giving, healthful, beneficial, wholesome",unhealthy
specious,""" adj. superficially plausible, but actually wrong. """"a specious argument""""   adj. misleading in appearance, especially misleadingly attractive. """"the music trade gives Golden Oldies a specious appearance of novelty"""" """"specious reasoning""""""",ˈspēSHəs,"misleading, deceptive, false, fallacious, unsound, spurious, casuistic, sophistic",
spurious,""" adj. not being what it purports to be; false or fake. """"separating authentic and spurious claims"""" """,ˈsp(y)o͝orēəs,"bogus, fake, false, counterfeit, forged, fraudulent, sham, artificial, imitation, simulated, feigned, deceptive, misleading, specious antonyms: genuine",genuine
subpoena,""" n. a writ ordering a person to attend a court. """"a subpoena may be issued to compel their attendance""""""",səˈpēnə,,
succinct,""" adj. (especially of something written or spoken) briefly and clearly expressed. """"use short, succinct sentences"""" """"just a succinct report, please"""" """,sə(k)ˈsiNG(k)t,"concise, short (and sweet), brief, compact, condensed, crisp, laconic, terse, to the point, pithy, epigrammatic, synoptic, gnomic",verbose
superfluous,""" adj. unnecessary, especially through being more than enough. """"the purchaser should avoid asking for superfluous information"""" """,so͞oˈpərflo͞oəs,"surplus (to requirements), nonessential, redundant, unneeded, excess, extra, (to) spare, remaining, unused, left over, in excess, waste antonyms: necessary, essential","necessary, essential"
surfeit,""" n. an excessive amount of something. """"a surfeit of food and drink""""    v. cause (someone) to desire no more of something as a result of having consumed or done it to excess. """"I am surfeited with shopping"""" """"we'll all be surfeited with food""""""",ˈsərfət,"excess, surplus, abundance, oversupply, superabundance, superfluity, glut, avalanche, deluge antonyms: lack, satiate, sate, gorge, overfeed, overfill, glut, cram, stuff, overindulge, fill; saturate",lack
tenacity,""" n. the quality or fact of being able to grip something firmly; grip. """"the sheer tenacity of the limpet"""" """"she practices her gymnastics routine with the tenacity of a bulldog""""""",təˈnasədē,"persistence, determination, perseverance, doggedness, strength of purpose, tirelessness, indefatigability, resolution, resoluteness, resolve, firmness, patience, purposefulness, staunchness, steadfastness, staying power, endurance, stamina, stubbornness, intransigence, obstinacy, obduracy, pertinacity",
tenuous,""" adj. very weak or slight. """"the tenuous link between interest rates and investment""""    adj. very slender or fine; insubstantial. """"a tenuous cloud"""" """,ˈtenyo͞oəs,"slight, insubstantial, meager, flimsy, weak, doubtful, dubious, questionable, suspect antonyms: convincing, strong, fine, thin, slender, delicate, wispy, gossamer, fragile antonyms: thick, strong","convincing, strong, thick, strong"
zealous,""" adj. having or showing zeal. """"the council was extremely zealous in the application of the regulations"""" """"a zealous worker"""" """,ˈzeləs,"fervent, ardent, fervid, fanatical, passionate, impassioned, devout, devoted, committed, dedicated, hard-core, enthusiastic, eager, keen, overkeen, avid, card-carrying, vigorous, energetic, intense, fierce","apathetic, indifferent"
liable,""" adj. responsible by law; legally answerable. """"the supplier of goods or services can become liable for breach of contract in a variety of ways"""" """"they are liable for negligence""""   adj. likely to do or to be something. """"patients were liable to faint if they stood up too suddenly"""" """"my income is liable to fluctuate wildly""""""",ˈlī(ə)b(ə)l,"responsible, legally responsible, accountable, answerable, chargeable, blameworthy, at fault, culpable, guilty, likely, inclined, tending, disposed, apt, predisposed, prone, given",
conspicuous,""" adj. standing out so as to be clearly visible. """"he was very thin, with a conspicuous Adam's apple""""   adj. attracting notice or attention. """"he showed conspicuous bravery"""" """,kənˈspikyo͞oəs,"easily seen, clear, visible, noticeable, discernible, perceptible, detectable",
prong,""" v. pierce or stab with a fork. """"pronging the bread with a fondue fork""""""",prôNG,,
revere,""" v. feel deep respect or admiration for (something). """"Cézanne's still lifes were revered by his contemporaries"""" """"she is revered as a national hero""""""",rəˈvir,"respect, admire, honor, think highly of, esteem, hold in high esteem, hold in high regard, look up to, put on a pedestal, lionize, reverence",
acerbic,""" adj. (especially of a comment or style of speaking) sharp and forthright. """"his acerbic wit"""" """,əˈsərbik,"sharp, sarcastic, sardonic, mordant, trenchant, cutting, razor-edged, biting, piercing, stinging, searing, scathing, caustic, bitter, acrimonious, astringent, abrasive, harsh, wounding, hurtful, unkind, cruel, virulent, vitriolic, venomous, malicious, vicious antonyms: mild, kind","mild, kind"
aggrandize,""" v. increase the power, status, or wealth of. """"an action intended to aggrandize the Frankish dynasty""""   v. enhance the reputation of (someone) beyond what is justified by the facts. """"he hoped to aggrandize himself by dying a hero's death""""""",əˈɡranˌdīz,,
anachronism,"""  n. a thing belonging or appropriate to a period other than that in which it exists, especially a thing that is conspicuously old-fashioned. """"everything was as it would have appeared in centuries past apart from one anachronism, a bright yellow construction crane""""""",əˈnakrəˌnizəm,,
astringent,""" adj. causing the contraction of body tissues, typically of the skin. """"an astringent skin lotion"""" """"the lotion has an astringent effect on pores""""   adj. sharp or severe in manner or style. """"her astringent words had their effect""""    n. a substance that causes the contraction of body tissues, typically used to protect the skin and to reduce bleeding from minor abrasions.""",əˈstrinjənt,"constricting, constrictive, contracting; styptic, severe, sharp, stern, harsh, acerbic, acidulous, caustic, mordant, trenchant",
contiguous,"""  adj. sharing a common border; touching. """"the 48 contiguous states"""" """,kənˈtiɡyo͞oəs,"adjacent, neighboring, adjoining, bordering, next-door",
credulous,"adj. having or showing too great a readiness to believe things. synonyms: gullible, naive, too trusting, easily taken in, impressionable, unsuspecting, unsuspicious, unwary, unquestioning antonyms: suspicious",ˈkrejələs,,
cynicism,""" n. an inclination to believe that people are motivated purely by self-interest; skepticism. """"public cynicism about politics"""" """,ˈsinəˌsizəm,"skepticism, doubt, distrust, mistrust, suspicion, disbelief antonyms: idealism",idealism
decorum,""" n. behavior in keeping with good taste and propriety. """"you exhibit remarkable modesty and decorum""""    n. etiquette. """"he had no idea of funeral decorum"""" """,dəˈkôrəm,"propriety, seemliness, decency, good taste, correctness antonyms: impropriety, etiquette, protocol, good form, custom, convention antonyms: impropriety","impropriety, impropriety"
derision,""" n. contemptuous ridicule or mockery. """"my stories were greeted with derision and disbelief"""" """,dəˈriZHən,"mockery, ridicule, jeers, sneers, taunts",
desiccate,""" v. remove the moisture from (something, especially food), typically in order to preserve it. """"desiccated coconut""""    v. lacking interest, passion, or energy. """"a desiccated history of ideas""""""",ˈdesəˌkāt,"dried, dry, dehydrated, powdered antonyms: moist",moist
dilettante,""" n. a person who cultivates an area of interest, such as the arts, without real commitment or knowledge. """"a dilettante approach to science"""" """"there is no room for the dilettante in this business"""" """,ˌdiləˈtänt,"dabbler, amateur, nonprofessional, nonspecialist, layman, layperson",professional
